age,annual_income,credit_score,years_employed,education_level,employment_type,requested_loan_amount
37,40014.05520856005,602,1,Bachelor,Unemployed,49921.09913025971
45,34934.03551322885,795,36,Bachelor,Self-employed,83204.42947593867
25,65786.312237092,526,37,Bachelor,Full-time,87587.98616955546
78,37026.7482590226,535,1,PhD,Full-time,46726.69556048231
58,55467.52695888534,754,35,High School,Full-time,91623.6981413176
56,66265.93153166154,312,25,Bachelor,Full-time,52998.98539367521
18,36273.61848701768,509,10,Bachelor,Full-time,41741.02471355634
20,55961.04420214351,696,7,High School,Part-time,65202.03559506873
30,70038.5509791039,399,39,High School,Self-employed,79115.95186551708
45,25236.744503888654,330,21,PhD,Self-employed,45468.89102587742
79,50497.04676489288,827,19,Master,Full-time,79293.23611028591
74,36359.31233601371,628,7,PhD,Part-time,52789.40801120573
77,26510.20235013723,465,28,PhD,Full-time,60597.05976696847
66,19270.96519019542,758,39,High School,Full-time,81637.9477009563
42,26187.02855642599,399,25,Bachelor,Part-time,51242.76633826601
73,51200.58011504025,472,29,Bachelor,Full-time,72249.6681609688
50,17783.110888765066,461,16,Bachelor,Full-time,47152.780921968486
55,38985.45951822726,562,19,Bachelor,Full-time,57509.13785237923
70,66263.88813705795,573,15,Bachelor,Part-time,68939.72800608308
23,58980.219268378714,302,6,Bachelor,Part-time,38148.8952048647
75,39389.84754123686,327,15,Bachelor,Full-time,38908.64339069909
61,83793.80826717448,625,26,High School,Self-employed,78593.28898563562
62,87860.72827823322,448,22,Bachelor,Full-time,65864.51430192114
49,50522.44863079451,839,23,Bachelor,Full-time,78744.68450621993
62,629.1416823138352,787,8,Bachelor,Part-time,53707.363896375115
78,67728.9639403252,737,34,High School,Part-time,87143.21327694501
64,4120.473199328291,364,19,Master,Unemployed,39378.520764889
38,79522.92221440132,655,36,High School,Full-time,89323.42993618334
33,71671.69801484598,832,16,Bachelor,Part-time,77799.96419809661
71,85484.25008276041,551,30,Master,Part-time,75645.06896490186
38,55205.311167354535,534,7,Bachelor,Self-employed,49158.90220442367
28,42772.28465636324,526,14,High School,Full-time,52163.158497884164
77,40997.97732619552,824,30,Bachelor,Part-time,86200.83291803712
54,39074.79657938206,612,29,Bachelor,Full-time,72438.84354009148
53,69621.37307349406,348,19,Master,Full-time,51294.45129728799
52,64245.42979011756,417,38,Master,Full-time,83544.62015725298
36,52404.51266868426,353,11,Bachelor,Full-time,45422.869001715255
37,35556.373841460554,343,16,Bachelor,Full-time,44808.879738325595
74,102584.25262600546,352,29,High School,Self-employed,77329.36402087593
35,68247.49227925739,824,28,High School,Full-time,87085.46044766612
64,18045.76160453182,401,18,Bachelor,Part-time,44552.74018010318
58,39674.87968125746,697,10,Bachelor,Full-time,59130.40608402014
66,68635.52194817411,437,33,Bachelor,Full-time,66706.17812772444
31,34009.221575346324,686,6,High School,Full-time,47808.962285873415
32,57030.959176517776,410,33,High School,Full-time,69334.55290093739
48,69015.92600672296,316,19,Bachelor,Full-time,56785.630830488284
18,-17768.561653127865,481,37,High School,Full-time,61685.98653369727
70,47839.24600421499,835,23,Master,Full-time,75243.06972828059
71,48624.18307130244,840,9,High School,Full-time,63097.44568730152
71,41758.55088632421,470,31,Bachelor,Full-time,64464.89471266451
20,56033.90269892082,708,14,PhD,Full-time,62202.532859153536
33,63150.39214991749,677,36,High School,Full-time,87059.18516941395
40,52841.01888649218,487,19,Bachelor,Self-employed,63056.31676588751
74,42523.45211901136,529,2,High School,Self-employed,35937.858158881674
28,62652.42599568539,418,36,Bachelor,Part-time,77834.79977447013
29,50981.06818548714,455,39,Bachelor,Full-time,68534.80930555446
27,45385.99173609044,764,7,Bachelor,Part-time,56009.1075386161
49,23754.412293221616,403,39,Bachelor,Self-employed,64628.87718687655
33,18746.904294678432,801,22,Master,Part-time,76048.36965297385
25,23375.404145718592,474,39,High School,Full-time,68338.60971995213
55,55566.5812244043,720,10,High School,Part-time,51663.7570000667
29,48418.42504787297,433,7,Master,Self-employed,33181.082980055646
41,20394.318035850734,690,28,Bachelor,Full-time,68788.44334248862
45,62918.35651587622,800,29,Master,Part-time,90944.3612337124
70,77486.1902635819,332,9,Bachelor,Full-time,50723.136367210835
25,38030.12766567328,354,38,Master,Full-time,67946.88882870694
75,15180.36285263252,818,27,Bachelor,Full-time,78265.4068433181
45,35817.472301961745,311,35,Master,Part-time,58597.285586902864
53,67089.21253589388,827,12,PhD,Full-time,77951.31654090229
43,60970.59717069548,672,31,Bachelor,Full-time,74731.10472607655
25,31551.346279770423,783,35,High School,Full-time,79090.6647192408
75,80423.44275529483,527,36,High School,Full-time,77441.82585192936
77,76965.60131852797,606,25,High School,Full-time,77015.45389220942
67,35339.87873446718,756,21,High School,Part-time,69170.65753400845
45,35134.199940700666,459,3,Bachelor,Part-time,37060.7674433428
45,38143.44125241021,630,30,Bachelor,Full-time,73252.44914015874
54,39853.34449222908,524,17,Bachelor,Full-time,50518.23669361009
58,69010.76015856888,803,37,Bachelor,Full-time,96902.02382550458
53,58506.58120953188,755,23,Bachelor,Self-employed,70814.74101983082
44,67541.57538701175,344,22,High School,Full-time,66278.61749176477
71,63471.302863733996,513,21,High School,Full-time,64173.2604946302
34,84290.54136387464,358,1,High School,Full-time,41742.73181394394
26,28812.28912381719,494,30,Bachelor,Part-time,71288.38837936557
50,57607.17060767832,788,10,High School,Self-employed,60470.91851455735
70,6523.574875306047,456,27,High School,Self-employed,46129.13689243197
37,23660.88851806283,525,31,Bachelor,Part-time,58867.164931076026
30,48502.93228130306,711,4,Master,Full-time,53761.52277589351
45,58364.13225509072,504,37,High School,Full-time,81867.3978247152
65,47963.68515940861,378,9,Bachelor,Full-time,45987.48288841175
46,38656.15162374644,423,39,Bachelor,Full-time,84606.82207459878
30,42211.64245013925,770,23,Master,Full-time,62916.33046403795
63,77388.81952848208,517,34,PhD,Full-time,86110.3238041667
52,42319.35644239719,815,22,High School,Full-time,72660.154069858
78,84984.83244087055,403,16,High School,Self-employed,58713.3739878173
23,65880.34147082266,692,0,Master,Part-time,51265.241799977404
35,59150.74692296461,733,30,Bachelor,Self-employed,79851.37572284951
68,26128.061793580087,630,30,Bachelor,Part-time,77761.04271109129
22,68704.76322799255,442,33,Bachelor,Full-time,79922.91560346726
64,40124.588445030015,839,8,Bachelor,Part-time,62103.35642629588
42,26111.204839886002,577,21,PhD,Full-time,64438.440214400805
19,60256.872261587545,532,12,PhD,Part-time,49114.41685198189
27,22241.078788669205,828,24,Master,Full-time,65418.79797994613
73,34755.170757408356,389,17,High School,Unemployed,35986.712566249065
47,49797.68177062177,791,11,Master,Full-time,61992.23183057009
67,94368.42848229455,498,39,High School,Full-time,93019.02117821213
76,36261.68488415025,661,16,High School,Self-employed,60442.79835490675
62,40835.669613988495,740,14,Master,Full-time,63997.41043949595
22,64646.9010884329,325,14,High School,Part-time,42588.786171199456
72,25234.08623247908,324,14,High School,Part-time,41785.999582813834
73,58856.12762041831,693,38,High School,Self-employed,91504.97587732048
50,74118.53615233176,806,12,Master,Unemployed,78200.83225302951
71,43858.102305777975,600,16,Bachelor,Unemployed,49693.61980378313
18,70523.08562793731,638,31,Bachelor,Full-time,85614.37998237014
35,55828.99846423612,566,8,High School,Self-employed,47109.873339683196
49,35386.36072392439,760,39,Master,Part-time,85629.2919544205
64,46043.906282069875,755,19,Master,Part-time,73234.99637780289
66,42404.853200395155,659,25,Bachelor,Full-time,71126.92399139811
